DT_REFER;DENOM_CIA;Aumento (Redução) de Caixa e Equivalentes;Caixa Líquido Atividades Operacionais;Caixa Líquido Atividades de Financiamento;Caixa Líquido Atividades de Investimento;Saldo Final de Caixa e Equivalentes;Saldo Inicial de Caixa e Equivalentes
2010-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;-24686.0;106182.0;-11910.0;-118958.0;61566.0;86252.0
2010-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;3831.0;10746.0;322999.0;-329914.0;3831.0;0.0
2010-12-31;ALUPAR INVESTIMENTO S/A;-85729.0;312482.0;-21387.0;-376824.0;506034.0;591763.0
2010-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;53238.0;1709949.0;-330942.0;-1325769.0;104017.0;50779.0
2010-12-31;BR PROPERTIES S.A.;143083.0;187390.0;1886892.0;-1931199.0;232456.0;89373.0
2010-12-31;BRASKEM S.A.;-58798.0;2720367.0;-388331.0;-2387581.0;2624270.0;2683068.0
2010-12-31;BRF S.A.;412403.0;3231568.0;-1583227.0;-1100593.0;2310643.0;1898240.0
2010-12-31;CCR S.A.;-942476.0;1357065.0;-62067.0;-2237474.0;1178669.0;2121145.0
2010-12-31;CIA SIDERURGICA NACIONAL;2268487.0;2482535.0;4650582.0;-4635797.0;10239278.0;7970791.0
2010-12-31;CIA TECIDOS SANTANENSE;1235.0;22421.0;2285.0;-23428.0;4482.0;3247.0
2010-12-31;COGNA EDUCAÇÃO S.A.;8904.0;-67999.0;-77682.0;154585.0;26168.0;17264.0
2010-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;-135.0;3325.0;-3460.0;0.0;196.0;331.0
2010-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;-58008.0;2233.0;182681.0;-242922.0;276475.0;334483.0
2010-12-31;DOHLER S.A.;-44648.0;-8985.0;-11390.0;-24273.0;51630.0;96278.0
2010-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;483130.0;549177.0;287552.0;-353599.0;872654.0;389524.0
2010-12-31;EMBPAR PARTICIPAÇÕES S/A;577.0;28995.0;-37355.0;8937.0;30925.0;30348.0
2010-12-31;EMBRAER S.A.;-451419.0;1465035.0;-1411043.0;-505411.0;2321199.0;2772618.0
2010-12-31;ENAUTA PARTICIPAÇÕES S.A.;137225.0;90086.0;126537.0;-79398.0;137225.0;0.0
2010-12-31;ENGIE BRASIL ENERGIA S.A.;-172060.0;1680481.0;-757650.0;-1094891.0;1082580.0;1254640.0
2010-12-31;GERDAU S.A.;-1030910.0;4139120.0;-3498601.0;-1603062.0;1061034.0;2091944.0
2010-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;-2936.0;15519.0;-6470.0;-11985.0;3571.0;6507.0
2010-12-31;JSL S.A.;365310.0;290355.0;118711.0;-43756.0;476215.0;110905.0
2010-12-31;KLABIN S.A.;689453.0;913535.0;160832.0;-384914.0;2531105.0;1841652.0
2010-12-31;MANGELS INDUSTRIAL S.A.;33578.0;-40015.0;145705.0;-72112.0;123937.0;90359.0
2010-12-31;MOURA DUBEUX ENGENHARIA S/A;376570.0;58347.0;349616.0;-31393.0;553561.0;176991.0
2010-12-31;OSX BRASIL S.A.;2229439.0;43884.0;2593349.0;-407713.0;2237601.0;8162.0
2010-12-31;PADTEC HOLDING S.A.;27401.0;-4147.0;60008.0;-28460.0;41812.0;14411.0
2010-12-31;PETRO RIO S.A.;17061.0;-2199821.0;2347949.0;-131067.0;20850.0;3789.0
2010-12-31;POSITIVO TECNOLOGIA S.A.;82103.0;-153871.0;283607.0;-47633.0;89817.0;7714.0
2010-12-31;REDE ENERGIA PARTICIPAÇÕES S.A.;345710.0;-86932.0;1277303.0;-844661.0;759663.0;413953.0
2010-12-31;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;-10425.0;-145259.0;417491.0;-282657.0;94997.0;105422.0
2010-12-31;RUMO S.A.;-599165.0;457219.0;-187993.0;-868391.0;1974560.0;2573725.0
2010-12-31;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;27229.0;31099.0;32343.0;-36213.0;65991.0;38762.0
2010-12-31;SER EDUCACIONAL S.A.;-15082.0;58224.0;-10002.0;-63304.0;2403.0;17485.0
2010-12-31;SUZANO HOLDING S.A.;1181337.0;1158744.0;457596.0;-426156.0;3794756.0;2613419.0
2010-12-31;SUZANO S.A.;1202153.0;1177867.0;385628.0;-352495.0;3735438.0;2533285.0
2010-12-31;TAURUS ARMAS S.A.;11838.0;28444.0;6145.0;-22751.0;188674.0;176836.0
2010-12-31;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;295283.0;605247.0;-290273.0;-19691.0;414578.0;119295.0
2010-12-31;TRONOX PIGMENTOS DO BRASIL S.A.;-7100.0;4539.0;6313.0;-17952.0;6639.0;13739.0
2010-12-31;UNIPAR CARBOCLORO S.A.;4468.0;41781.0;-486893.0;449580.0;24914.0;20446.0
2010-12-31;VALE S.A.;248361.0;35376487.0;-3473961.0;-31584710.0;13468958.0;13220597.0
2010-12-31;VALID SOLUÇÕES S.A.;31654.0;142094.0;-46316.0;-62156.0;139744.0;108090.0
2010-12-31;VIX LOGÍSTICA S/A;27748645.0;144726163.0;8817470.0;-125794988.0;59208235.0;31459590.0
2010-12-31;VULCABRAS S.A.;-45815.0;178837.0;-59705.0;-165158.0;50986.0;96801.0
2010-12-31;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;43211.0;55643.0;-19465.0;7033.0;174776.0;131565.0
2010-12-31;YDUQS PARTICIPACOES S.A.;-6576.0;-1760.0;38026.0;-42737.0;44727.0;51303.0
2011-03-31;COSAN S.A.;175704.0;2337098.0;984338.0;-3145732.0;1254070.0;1078366.0
2011-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;329352.0;167748.0;471649.0;-310045.0;390918.0;61566.0
2011-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;5775.0;71475.0;-6791.0;-58909.0;9606.0;3831.0
2011-12-31;ALUPAR INVESTIMENTO S/A;-37346.0;407040.0;-230463.0;-213923.0;26543.0;63889.0
2011-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;-39369.0;1684313.0;-1547162.0;-176520.0;64648.0;104017.0
2011-12-31;BR PROPERTIES S.A.;799895.0;204980.0;673088.0;-78173.0;1032350.0;232455.0
2011-12-31;BRASKEM S.A.;288744.0;2777500.0;494744.0;-2866470.0;2986819.0;2698075.0
2011-12-31;BRF S.A.;-943800.0;1142592.0;-326332.0;-1875866.0;1366843.0;2310643.0
2011-12-31;CCR S.A.;-415338.0;1890267.0;-1646869.0;-658736.0;763331.0;1178669.0
2011-12-31;CIA SIDERURGICA NACIONAL;5178115.0;4201780.0;4740715.0;-5275011.0;15417393.0;10239278.0
2011-12-31;CIA TECIDOS SANTANENSE;1236.0;6398.0;11651.0;-16820.0;5718.0;4482.0
2011-12-31;COGNA EDUCAÇÃO S.A.;125179.0;-2661.0;819976.0;-692136.0;151347.0;26168.0
2011-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;511.0;-5168.0;5685.0;-6.0;707.0;196.0
2011-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;651573.0;73861.0;2129344.0;-1551632.0;651573.0;0.0
2011-12-31;DOHLER S.A.;5029.0;19259.0;-3350.0;-10880.0;56659.0;51630.0
2011-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;-268103.0;620795.0;-578765.0;-310133.0;604551.0;872654.0
2011-12-31;EMBPAR PARTICIPAÇÕES S/A;-8996.0;45680.0;-22655.0;-32021.0;21929.0;30925.0
2011-12-31;EMBRAER S.A.;211472.0;1145446.0;68009.0;-1001983.0;2532671.0;2321199.0
2011-12-31;ENAUTA PARTICIPAÇÕES S.A.;884726.0;194219.0;1297757.0;-607250.0;1021951.0;137225.0
2011-12-31;ENGIE BRASIL ENERGIA S.A.;-300772.0;2053674.0;-1993368.0;-361078.0;781808.0;1082580.0
2011-12-31;GERDAU S.A.;415565.0;1710018.0;727064.0;-2111158.0;1476599.0;1061034.0
2011-12-31;HIDROVIAS DO BRASIL S.A.;54716.0;-15395.0;107605.0;-37494.0;54726.0;10.0
2011-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;-1072.0;7547.0;-2737.0;-5882.0;2499.0;3571.0
2011-12-31;JSL S.A.;27965.0;480822.0;-182955.0;-269902.0;399084.0;371119.0
2011-12-31;KLABIN S.A.;-190041.0;728920.0;-197724.0;-721237.0;2341064.0;2531105.0
2011-12-31;MANGELS INDUSTRIAL S.A.;24871.0;171414.0;-108624.0;-37919.0;148808.0;123937.0
2011-12-31;MOURA DUBEUX ENGENHARIA S/A;65175.0;-62850.0;114907.0;13118.0;76795.0;11620.0
2011-12-31;OSX BRASIL S.A.;-1203593.0;427775.0;194531.0;-1800961.0;1034008.0;2237601.0
2011-12-31;PADTEC HOLDING S.A.;12582.0;-55275.0;87239.0;-19382.0;55040.0;42458.0
2011-12-31;PETRO RIO S.A.;36152.0;-503418.0;161364.0;378206.0;57002.0;20850.0
2011-12-31;POSITIVO TECNOLOGIA S.A.;66890.0;190693.0;-59196.0;-64607.0;156707.0;89817.0
2011-12-31;RAIA DROGASIL S.A.;159125.0;28619.0;-12692.0;143198.0;339971.0;180846.0
2011-12-31;REDE ENERGIA PARTICIPAÇÕES S.A.;-73580.0;710656.0;173145.0;-957381.0;686083.0;759663.0
2011-12-31;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;179825.0;83183.0;21869.0;74773.0;274822.0;94997.0
2011-12-31;RUMO S.A.;125178.0;697883.0;335608.0;-908313.0;2099738.0;1974560.0
2011-12-31;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;35618.0;7978.0;85427.0;-57787.0;101609.0;65991.0
2011-12-31;SER EDUCACIONAL S.A.;984.0;33578.0;25284.0;-57878.0;3387.0;2403.0
2011-12-31;SUZANO HOLDING S.A.;-471677.0;928021.0;1800752.0;-3229178.0;3323079.0;3794756.0
2011-12-31;SUZANO S.A.;-461500.0;942310.0;1796717.0;-3229255.0;3273938.0;3735438.0
2011-12-31;TAURUS ARMAS S.A.;-21990.0;45349.0;-23426.0;-48235.0;162226.0;184216.0
2011-12-31;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;87185.0;751458.0;192745.0;-857018.0;501763.0;414578.0
2011-12-31;TRONOX PIGMENTOS DO BRASIL S.A.;12245.0;39931.0;-7285.0;-20401.0;18884.0;6639.0
2011-12-31;UNIPAR CARBOCLORO S.A.;-16276.0;145983.0;-184933.0;22674.0;8638.0;24914.0
2011-12-31;VALE S.A.;-6011030.0;42062309.0;-23604775.0;-24703332.0;7457928.0;13468958.0
2011-12-31;VALID SOLUÇÕES S.A.;32036.0;123964.0;-33393.0;-61310.0;171780.0;139744.0
2011-12-31;VIX LOGÍSTICA S/A;-35312.0;182543.0;25571.0;-243426.0;23896.0;59208.0
2011-12-31;VULCABRAS S.A.;-23697.0;-195722.0;291402.0;-119377.0;27289.0;50986.0
2011-12-31;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;-10397.0;18218.0;-1195.0;-27420.0;164379.0;174776.0
2011-12-31;YDUQS PARTICIPACOES S.A.;-22870.0;-49045.0;188417.0;-162242.0;21857.0;44727.0
2012-03-31;COSAN S.A.;362099.0;1961456.0;643418.0;-2242775.0;1616169.0;1254070.0
2012-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;291058.0;174708.0;273276.0;-156926.0;681976.0;390918.0
2012-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;-6289.0;78516.0;-98346.0;13541.0;3317.0;9606.0
2012-12-31;ALUPAR INVESTIMENTO S/A;26248.0;647709.0;-45590.0;-575871.0;52791.0;26543.0
2012-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;-21006.0;1327666.0;-1215873.0;-132799.0;43642.0;64648.0
2012-12-31;BB SEGURIDADE PARTICIPAÇÕES S.A.;1327931.0;0.0;1327931.0;0.0;1327931.0;0.0
2012-12-31;BR PROPERTIES S.A.;-458780.0;562110.0;22947.0;-1043837.0;573570.0;1032350.0
2012-12-31;BRASKEM S.A.;335350.0;2571811.0;633883.0;-2834307.0;3287622.0;2952272.0
2012-12-31;BRF S.A.;563850.0;2443431.0;450430.0;-2372923.0;1930693.0;1366843.0
2012-12-31;CCR S.A.;109160.0;2426811.0;-1158779.0;-1158872.0;872491.0;763331.0
2012-12-31;CIA SIDERURGICA NACIONAL;-972518.0;3487500.0;-748879.0;-3539653.0;14444875.0;15417393.0
2012-12-31;CIA TECIDOS SANTANENSE;-4901.0;32472.0;-43269.0;5902.0;817.0;5718.0
2012-12-31;COGNA EDUCAÇÃO S.A.;64273.0;314151.0;581431.0;-831309.0;215620.0;151347.0
2012-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;1058.0;4193.0;-3131.0;-4.0;1765.0;707.0
2012-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;-11488.0;234077.0;1661342.0;-1906907.0;640085.0;651573.0
2012-12-31;DOHLER S.A.;9076.0;22087.0;7930.0;-20941.0;65735.0;56659.0
2012-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;342365.0;698375.0;728001.0;-1084011.0;946916.0;604551.0
2012-12-31;EMBPAR PARTICIPAÇÕES S/A;16281.0;-90515.0;-32041.0;138837.0;38210.0;21929.0
2012-12-31;EMBRAER S.A.;1148062.0;1590416.0;747525.0;-1189879.0;3680733.0;2532671.0
2012-12-31;ENAUTA PARTICIPAÇÕES S.A.;-150629.0;254332.0;-142030.0;-262931.0;871322.0;1021951.0
2012-12-31;ENGIE BRASIL ENERGIA S.A.;398168.0;2359306.0;-1626150.0;-334988.0;1179976.0;781808.0
2012-12-31;GERDAU S.A.;-39364.0;4344047.0;-1036294.0;-3438025.0;1437235.0;1476599.0
2012-12-31;HIDROVIAS DO BRASIL S.A.;63852.0;-44303.0;135296.0;-31278.0;118578.0;54726.0
2012-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;272.0;15863.0;-5580.0;-10011.0;2771.0;2499.0
2012-12-31;IGUA SANEAMENTO S.A.;11430.0;-41102.0;373539.0;-321007.0;16226.0;4796.0
2012-12-31;JSL S.A.;-76581.0;684825.0;-549097.0;-212309.0;322503.0;399084.0
2012-12-31;KLABIN S.A.;176248.0;933894.0;-153377.0;-604269.0;2517312.0;2341064.0
2012-12-31;MANGELS INDUSTRIAL S.A.;22567.0;94177.0;-70492.0;-1118.0;171375.0;148808.0
2012-12-31;MOURA DUBEUX ENGENHARIA S/A;-50462.0;-151594.0;-53795.0;154927.0;26810.0;77272.0
2012-12-31;OSX BRASIL S.A.;653728.0;163015.0;4413288.0;-3896074.0;1684076.0;1030348.0
2012-12-31;PADTEC HOLDING S.A.;11005.0;7151.0;16977.0;-13123.0;66045.0;55040.0
